month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,14759831552.0,3455832064.0
2024-02-01,1,Portable Computers,13479142400.0,3041737728.0
2024-03-01,1,Portable Computers,13863038976.0,3573157376.0
2024-04-01,1,Portable Computers,12344694784.0,3115081472.0
2024-05-01,1,Portable Computers,13222042624.0,3598527488.0
2024-06-01,1,Portable Computers,10855118848.0,2679809536.0
2024-07-01,1,Portable Computers,12343071744.0,3560953344.0
2024-08-01,1,Portable Computers,11886729216.0,3029732864.0
2024-09-01,1,Portable Computers,11289419776.0,3135109376.0
2024-10-01,1,Portable Computers,11635756032.0,3129882624.0
2024-11-01,1,Portable Computers,12039628800.0,3099729920.0
2024-12-01,1,Portable Computers,10457917440.0,2987717376.0
2024-01-01,2,Cooling Systems,5843119616.0,533700192.0
2024-02-01,2,Cooling Systems,6312667648.0,501733024.0
2024-03-01,2,Cooling Systems,6388984320.0,533763008.0
2024-04-01,2,Cooling Systems,6518290432.0,533469376.0
2024-05-01,2,Cooling Systems,6467679232.0,469618528.0
2024-06-01,2,Cooling Systems,6745925632.0,456793568.0
2024-07-01,2,Cooling Systems,6117083136.0,471968864.0
2024-08-01,2,Cooling Systems,6448688640.0,510354592.0
2024-09-01,2,Cooling Systems,6260381696.0,497214176.0
2024-10-01,2,Cooling Systems,6409879040.0,479434496.0
2024-11-01,2,Cooling Systems,6395537408.0,495270112.0
2024-12-01,2,Cooling Systems,6365182464.0,478109984.0
2024-01-01,3,Frozen Storage Units,1301827328.0,149705840.0
2024-02-01,3,Frozen Storage Units,1336573440.0,140402720.0
2024-03-01,3,Frozen Storage Units,1250835968.0,156249984.0
2024-04-01,3,Frozen Storage Units,1351949440.0,173184096.0
2024-05-01,3,Frozen Storage Units,1612347776.0,197597520.0
2024-06-01,3,Frozen Storage Units,1663742080.0,163360592.0
2024-07-01,3,Frozen Storage Units,1794316800.0,176045568.0
2024-08-01,3,Frozen Storage Units,1578834048.0,176608624.0
2024-09-01,3,Frozen Storage Units,1480591488.0,188993072.0
2024-10-01,3,Frozen Storage Units,1513677312.0,148155168.0
2024-11-01,3,Frozen Storage Units,1297616384.0,148848304.0
