month,product_group_name,product_group_id,market_revenue,revenue_amazon
2019-01-01,Portable Computers,1,12019564896.0,2693122572.620039
2019-02-01,Portable Computers,1,13345161402.0,2870767689.431639
2019-03-01,Portable Computers,1,14525049105.0,3325878389.8907433
2019-04-01,Portable Computers,1,9928832708.0,2075048267.5278087
2019-05-01,Portable Computers,1,15361999191.0,3951116801.1437755
2019-06-01,Portable Computers,1,12070273923.0,2775125422.3467774
2019-07-01,Portable Computers,1,11098390960.0,2792504790.264429
2019-08-01,Portable Computers,1,12497779596.0,3272334381.6796393
2019-09-01,Portable Computers,1,10815403115.0,2838816342.518396
2019-10-01,Portable Computers,1,12753273156.0,3780185469.2438684
2019-11-01,Portable Computers,1,13480225940.0,3917470169.1857166
2019-12-01,Portable Computers,1,14796370063.0,3713746606.5402093
2020-01-01,Portable Computers,1,15994109698.0,3279647889.3375154
2020-02-01,Portable Computers,1,15527020474.0,3624005069.052716
2020-03-01,Portable Computers,1,11724383592.0,2946249562.373669
2020-04-01,Portable Computers,1,13396723535.0,3226640612.2246585
2020-05-01,Portable Computers,1,14253477749.0,3899306832.5387583
2020-06-01,Portable Computers,1,9830586732.0,2592284698.80662
2020-07-01,Portable Computers,1,12117319877.0,3578771829.280262
2020-08-01,Portable Computers,1,13291345859.0,2908857566.2082973
2020-09-01,Portable Computers,1,14118470453.0,3348924432.192929
2020-10-01,Portable Computers,1,13067190775.0,3119691789.786493
2020-11-01,Portable Computers,1,14699975120.0,3123258188.9539433
2020-12-01,Portable Computers,1,12375427632.0,2476813117.644738
2021-01-01,Portable Computers,1,13057950023.0,3493495783.9971433
2021-02-01,Portable Computers,1,11111003999.0,2634598204.6459155
2021-03-01,Portable Computers,1,14031901561.0,3839350423.1555657
2021-04-01,Portable Computers,1,10380593792.0,3104481676.24608
2021-05-01,Portable Computers,1,15378128700.0,3176849860.316755
2021-06-01,Portable Computers,1,11828363107.0,2660298205.9198527
2021-07-01,Portable Computers,1,15293257504.0,3429163247.7290277
2021-08-01,Portable Computers,1,10447152656.0,2499406412.312125
2021-09-01,Portable Computers,1,11708643910.0,2950530670.1004167
2021-10-01,Portable Computers,1,10956963163.0,2622995814.2633886
2021-11-01,Portable Computers,1,10138125415.0,2358959882.298829
2021-12-01,Portable Computers,1,9607839423.0,1977226962.992274
2022-01-01,Portable Computers,1,11954766126.0,3256039041.982645
2022-02-01,Portable Computers,1,9683200258.0,2456921496.4611044
2022-03-01,Portable Computers,1,15185164073.0,4490312142.669271
2022-04-01,Portable Computers,1,9288054219.0,2328054239.720825
2022-05-01,Portable Computers,1,11999182444.0,3473792844.8340235
2022-06-01,Portable Computers,1,14958800992.0,3993097673.276078
2022-07-01,Portable Computers,1,13623642753.0,4064418591.302151
2022-08-01,Portable Computers,1,12200860728.0,3448091259.8393383
2022-09-01,Portable Computers,1,11488161694.0,2655080946.0561223
2022-10-01,Portable Computers,1,10952611060.0,2255140656.705955
2022-11-01,Portable Computers,1,14690752005.0,3187286235.5041566
2022-12-01,Portable Computers,1,9308553010.0,2031717871.344111
2023-01-01,Portable Computers,1,15932476447.0,4432829331.341723
2023-02-01,Portable Computers,1,13698741281.0,2882132106.547518
2023-03-01,Portable Computers,1,15306387365.0,4151035566.156612
2023-04-01,Portable Computers,1,12726820544.0,3427618106.4810224
2023-05-01,Portable Computers,1,15261913992.0,4170646867.3266587
2023-06-01,Portable Computers,1,9704901799.0,2092219782.7522535
2023-07-01,Portable Computers,1,15381489963.0,4531929176.555774
2023-08-01,Portable Computers,1,9733901611.0,2535144036.408846
2023-09-01,Portable Computers,1,10894407659.0,2242820483.3979816
2023-10-01,Portable Computers,1,10482379841.0,3139429387.374594
2023-11-01,Portable Computers,1,13944962534.0,2847721420.415175
2023-12-01,Portable Computers,1,13695103272.0,3946543598.001423
2024-01-01,Portable Computers,1,10336690053.0,2347098590.0721335
2024-02-01,Portable Computers,1,13490880387.0,3466349365.8945866
2024-03-01,Portable Computers,1,10409513089.0,2823902841.463323
2024-04-01,Portable Computers,1,12803696659.0,2688939362.3385267
2024-05-01,Portable Computers,1,15375171601.0,4192779901.4246373
2024-06-01,Portable Computers,1,14027147983.0,3212741524.2564306
2024-07-01,Portable Computers,1,11863369879.0,2851323480.2532725
2024-08-01,Portable Computers,1,9231761754.0,2128098607.3468633
2024-09-01,Portable Computers,1,12766818588.0,3398142997.14996
2024-10-01,Portable Computers,1,15330625563.0,3385317209.389525
2024-11-01,Portable Computers,1,13538682978.0,3663388402.5115204
2024-12-01,Portable Computers,1,11284971786.0,2714163331.5553093
2025-01-01,Portable Computers,1,,
2025-02-01,Portable Computers,1,,
2025-03-01,Portable Computers,1,,
2025-04-01,Portable Computers,1,,
2025-05-01,Portable Computers,1,,
2025-06-01,Portable Computers,1,,
2025-07-01,Portable Computers,1,,
2025-08-01,Portable Computers,1,,
2025-09-01,Portable Computers,1,,
2025-10-01,Portable Computers,1,,
2025-11-01,Portable Computers,1,,
2025-12-01,Portable Computers,1,,
2019-01-01,Cooling Systems,2,6934263789.0,487996983.4727754
2019-02-01,Cooling Systems,2,7398825862.0,561614069.835886
2019-03-01,Cooling Systems,2,5983515686.0,574871667.7849265
2019-04-01,Cooling Systems,2,5289632398.0,484823295.49930114
2019-05-01,Cooling Systems,2,5587144628.0,449451404.6197114
2019-06-01,Cooling Systems,2,4587210728.0,342934626.09179884
2019-07-01,Cooling Systems,2,6142296543.0,599156689.2052039
2019-08-01,Cooling Systems,2,6857939973.0,624291435.8606733
2019-09-01,Cooling Systems,2,4124448580.0,318179998.4343331
2019-10-01,Cooling Systems,2,7517831588.0,647339742.1236695
2019-11-01,Cooling Systems,2,5783524919.0,495397276.9225731
2019-12-01,Cooling Systems,2,6224743734.0,475724349.28594786
2020-01-01,Cooling Systems,2,6689106830.0,574813667.0999179
2020-02-01,Cooling Systems,2,4036519833.0,330145323.5381413
2020-03-01,Cooling Systems,2,6696628519.0,494195719.1938504
2020-04-01,Cooling Systems,2,7068078577.0,647720805.8000083
2020-05-01,Cooling Systems,2,6874805329.0,576933959.7415115
2020-06-01,Cooling Systems,2,7330128081.0,521660087.6165004
2020-07-01,Cooling Systems,2,5539396912.0,483993427.2423292
2020-08-01,Cooling Systems,2,7637321876.0,761680467.8060606
2020-09-01,Cooling Systems,2,7049378303.0,613683607.4836566
2020-10-01,Cooling Systems,2,6849282754.0,610875460.7329683
2020-11-01,Cooling Systems,2,6762037130.0,495932043.35679877
2020-12-01,Cooling Systems,2,5178442338.0,397028894.76782167
2021-01-01,Cooling Systems,2,6834325286.0,485803910.30617976
2021-02-01,Cooling Systems,2,5744786105.0,565271444.2986177
2021-03-01,Cooling Systems,2,4022594673.0,399133826.49585664
2021-04-01,Cooling Systems,2,7591670147.0,612998304.9426993
2021-05-01,Cooling Systems,2,6855024442.0,679912795.9808133
2021-06-01,Cooling Systems,2,6374057357.0,449150671.9137924
2021-07-01,Cooling Systems,2,4320356839.0,415207954.4544018
2021-08-01,Cooling Systems,2,5065055112.0,373148524.057913
