date,category_id,category_title,revenue
2025-03-01,1,Wine,142613872.0
2025-04-01,1,Wine,149326480.0
2025-05-01,1,Wine,118636560.0
2025-06-01,1,Wine,124780912.0
2025-07-01,1,Wine,132560024.0
2025-08-01,1,Wine,127873992.0
2025-09-01,1,Wine,157583360.0
2025-10-01,1,Wine,147004304.0
2025-11-01,1,Wine,131349056.0
2025-12-01,1,Wine,127759640.0
2026-01-01,1,Wine,141854096.0
2026-02-01,1,Wine,136094608.0
2026-03-01,1,Wine,155609088.0
2026-04-01,1,Wine,153661008.0
2026-05-01,1,Wine,120736952.0
2026-06-01,1,Wine,154249200.0
2026-07-01,1,Wine,137702032.0
2026-08-01,1,Wine,134273232.0
2025-03-01,2,Champagne & Sparkling Wine,180989088.0
2025-04-01,2,Champagne & Sparkling Wine,178650048.0
2025-05-01,2,Champagne & Sparkling Wine,148090208.0
2025-06-01,2,Champagne & Sparkling Wine,174789168.0
2025-07-01,2,Champagne & Sparkling Wine,177561504.0
2025-08-01,2,Champagne & Sparkling Wine,176378896.0
2025-09-01,2,Champagne & Sparkling Wine,176601696.0
2025-10-01,2,Champagne & Sparkling Wine,173519472.0
2025-11-01,2,Champagne & Sparkling Wine,178984400.0
2025-12-01,2,Champagne & Sparkling Wine,182123120.0
2026-01-01,2,Champagne & Sparkling Wine,188675200.0
2026-02-01,2,Champagne & Sparkling Wine,179456624.0
2026-03-01,2,Champagne & Sparkling Wine,185252272.0
2026-04-01,2,Champagne & Sparkling Wine,172040944.0
2026-05-01,2,Champagne & Sparkling Wine,170945168.0
2026-06-01,2,Champagne & Sparkling Wine,174398608.0
2026-07-01,2,Champagne & Sparkling Wine,178576160.0
2026-08-01,2,Champagne & Sparkling Wine,187579088.0
2025-03-01,3,Whiskey,525924224.0
2025-04-01,3,Whiskey,607331072.0
2025-05-01,3,Whiskey,532538272.0
2025-06-01,3,Whiskey,532640032.0
2025-07-01,3,Whiskey,543385920.0
2025-08-01,3,Whiskey,601579072.0
2025-09-01,3,Whiskey,584383680.0
2025-10-01,3,Whiskey,582976896.0
2025-11-01,3,Whiskey,600413568.0
2025-12-01,3,Whiskey,588103616.0
2026-01-01,3,Whiskey,592214208.0
2026-02-01,3,Whiskey,591884544.0
2026-03-01,3,Whiskey,575537024.0
2026-04-01,3,Whiskey,542380672.0
2026-05-01,3,Whiskey,528375136.0
2026-06-01,3,Whiskey,548816768.0
2026-07-01,3,Whiskey,530874848.0
2026-08-01,3,Whiskey,584238656.0
2025-03-01,4,Cognac & Brandy,99541800.0
2025-04-01,4,Cognac & Brandy,88557600.0
2025-05-01,4,Cognac & Brandy,98032248.0
2025-06-01,4,Cognac & Brandy,101382800.0
2025-07-01,4,Cognac & Brandy,96192672.0
2025-08-01,4,Cognac & Brandy,101463232.0
2025-09-01,4,Cognac & Brandy,98125760.0
2025-10-01,4,Cognac & Brandy,100932216.0
2025-11-01,4,Cognac & Brandy,99023192.0
2025-12-01,4,Cognac & Brandy,99227392.0
2026-01-01,4,Cognac & Brandy,102784368.0
2026-02-01,4,Cognac & Brandy,106175208.0
2026-03-01,4,Cognac & Brandy,105324432.0
2026-04-01,4,Cognac & Brandy,103686992.0
2026-05-01,4,Cognac & Brandy,113304896.0
2026-06-01,4,Cognac & Brandy,113708784.0
2026-07-01,4,Cognac & Brandy,102347952.0
2026-08-01,4,Cognac & Brandy,106302032.0
2025-03-01,5,Vodka,103883960.0
2025-04-01,5,Vodka,106088888.0
2025-05-01,5,Vodka,115791736.0
2025-06-01,5,Vodka,111152312.0
2025-07-01,5,Vodka,117201864.0
2025-08-01,5,Vodka,109604872.0
2025-09-01,5,Vodka,101607736.0
2025-10-01,5,Vodka,119994600.0
2025-11-01,5,Vodka,121283912.0
2025-12-01,5,Vodka,114186032.0
2026-01-01,5,Vodka,107607096.0
2026-02-01,5,Vodka,114366128.0
2026-03-01,5,Vodka,121301904.0
2026-04-01,5,Vodka,119554040.0
2026-05-01,5,Vodka,118908672.0
2026-06-01,5,Vodka,114082736.0
2026-07-01,5,Vodka,111826384.0
2026-08-01,5,Vodka,119727168.0
